date,year,month,year_month,day_of_week,plaza_id_raw,facility_id,facility_code,facility_name,facility_type,direction,direction_label,ezpass_vehicles,vtoll_vehicles,total_vehicles,ezpass_share_pct,congestion_period,latitude,longitude
2025-01-20,2025,1,2025-01,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,97677,17608,115285,84.73,After congestion pricing,40.7906,-73.9228
2025-01-19,2025,1,2025-01,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,78146,15280,93426,83.64,After congestion pricing,40.7906,-73.9228
2025-01-18,2025,1,2025-01,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,108209,21116,129325,83.67,After congestion pricing,40.7906,-73.9228
2025-01-17,2025,1,2025-01,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,122827,22523,145350,84.5,After congestion pricing,40.7906,-73.9228
2025-01-16,2025,1,2025-01,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,119723,21148,140871,84.99,After congestion pricing,40.7906,-73.9228
2025-01-15,2025,1,2025-01,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114296,19958,134254,85.13,After congestion pricing,40.7906,-73.9228
2025-01-14,2025,1,2025-01,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,115473,20353,135826,85.02,After congestion pricing,40.7906,-73.9228
2025-01-13,2025,1,2025-01,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,113028,20485,133513,84.66,After congestion pricing,40.7906,-73.9228
2025-01-12,2025,1,2025-01,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,100670,18824,119494,84.25,After congestion pricing,40.7906,-73.9228
2025-01-11,2025,1,2025-01,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,104296,20154,124450,83.81,After congestion pricing,40.7906,-73.9228
2025-01-10,2025,1,2025-01,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,121926,22706,144632,84.3,After congestion pricing,40.7906,-73.9228
2025-01-09,2025,1,2025-01,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,116067,20472,136539,85.01,After congestion pricing,40.7906,-73.9228
2025-01-08,2025,1,2025-01,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,116813,20592,137405,85.01,After congestion pricing,40.7906,-73.9228
2025-01-07,2025,1,2025-01,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,114784,20024,134808,85.15,After congestion pricing,40.7906,-73.9228
2025-01-06,2025,1,2025-01,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,108931,19212,128143,85.01,After congestion pricing,40.7906,-73.9228
2025-01-05,2025,1,2025-01,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,96467,17991,114458,84.28,After congestion pricing,40.7906,-73.9228
2025-01-04,2025,1,2025-01,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,102752,20985,123737,83.04,Before congestion pricing,40.7906,-73.9228
2025-01-03,2025,1,2025-01,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,115094,22269,137363,83.79,Before congestion pricing,40.7906,-73.9228
2025-01-02,2025,1,2025-01,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,108870,20628,129498,84.07,Before congestion pricing,40.7906,-73.9228
2025-01-01,2025,1,2025-01,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,88329,17691,106020,83.31,Before congestion pricing,40.7906,-73.9228
2024-12-31,2024,12,2024-12,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,110697,21620,132317,83.66,Before congestion pricing,40.7906,-73.9228
2024-12-30,2024,12,2024-12,Monday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117357,23036,140393,83.59,Before congestion pricing,40.7906,-73.9228
2024-12-29,2024,12,2024-12,Sunday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,104139,21667,125806,82.78,Before congestion pricing,40.7906,-73.9228
2024-12-28,2024,12,2024-12,Saturday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,102876,21404,124280,82.78,Before congestion pricing,40.7906,-73.9228
2024-12-27,2024,12,2024-12,Friday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,117113,23398,140511,83.35,Before congestion pricing,40.7906,-73.9228
2024-12-26,2024,12,2024-12,Thursday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,111259,21807,133066,83.61,Before congestion pricing,40.7906,-73.9228
2024-12-25,2024,12,2024-12,Wednesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,90394,17482,107876,83.79,Before congestion pricing,40.7906,-73.9228
2024-12-24,2024,12,2024-12,Tuesday,21,21,TBX,Robert F. Kennedy Bridge – Queens/Bronx Plaza,Bridge,I,Inbound – Manhattan / Queens / Bronx,112785,21435,134220,84.03,Before congestion pricing,40.7906,-73.9228
