indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
ED Visits,Brooklyn,Kings,36047,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.6782,-73.9442,402.6,134.199,97653,396.46,132.152,89.099,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.7831,-73.9712,501,166.999,66713,421.18,140.394,60.87,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.7282,-73.7949,262.39,87.465,53525,243.73,81.244,48.837,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.5795,-74.1502,249.53,83.177,11299,243.81,81.27,10.309,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.8448,-73.8648,206.58,68.86,27710,203.06,67.688,25.283,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.6782,-73.9442,100.66,33.552,24182,98.18,32.725,22.064,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.7831,-73.9712,87.71,29.235,12482,78.8,26.268,11.389,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.7282,-73.7949,65.77,21.922,13780,62.75,20.916,12.573,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2007-2009,2007,2009,2008-07-01T00:00:00Z,40.5795,-74.1502,57.89,19.297,2707,58.41,19.471,2.47,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.8448,-73.8648,773.01,257.669,107356,780.38,260.128,97.953,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.6782,-73.9442,417.63,139.21,102253,411.32,137.106,93.297,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.7831,-73.9712,488.07,162.689,65102,410.37,136.791,59.4,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.7282,-73.7949,268.98,89.659,55494,250.52,83.506,50.633,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.5795,-74.1502,264.45,88.149,12042,257.99,85.997,10.987,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.8448,-73.8648,203.77,67.923,27544,200.22,66.74,25.131,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.6782,-73.9442,100.27,33.424,24321,97.83,32.611,22.191,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.7831,-73.9712,85.13,28.377,12240,77.16,25.719,11.168,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.7282,-73.7949,62.71,20.902,13328,60.17,20.056,12.161,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2008-2010,2008,2010,2009-07-01T00:00:00Z,40.5795,-74.1502,60.4,20.133,2865,61.38,20.46,2.614,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.8448,-73.8648,754.46,251.486,105596,761.35,253.782,96.435,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.6782,-73.9442,434.77,144.923,107743,428.78,142.926,98.395,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.7831,-73.9712,480.84,160.281,64167,402.68,134.227,58.6,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.7282,-73.7949,276.81,92.27,57715,258.14,86.047,52.708,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.5795,-74.1502,275.35,91.785,12563,267.75,89.251,11.473,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.8448,-73.8648,195.03,65.011,26657,192.2,64.066,24.344,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.6782,-73.9442,98.44,32.815,24189,96.26,32.088,22.09,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.7831,-73.9712,80.22,26.74,11600,72.8,24.265,10.594,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.7282,-73.7949,58.58,19.528,12699,56.8,18.933,11.597,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2009-2011,2009,2011,2010-07-01T00:00:00Z,40.5795,-74.1502,61.25,20.416,2945,62.77,20.922,2.689,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.8448,-73.8648,782.49,260.829,110362,789.03,263.009,100.695,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.6782,-73.9442,453.54,151.179,113735,447.83,149.276,103.773,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.7831,-73.9712,474.89,158.297,63966,398.05,132.683,58.363,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.7282,-73.7949,274.17,91.389,58035,257.46,85.82,52.952,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.5795,-74.1502,281.59,93.862,12856,273.29,91.097,11.73,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.8448,-73.8648,183.72,61.242,25373,181.4,60.468,23.151,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.6782,-73.9442,92.74,30.912,23128,91.07,30.355,21.102,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.7831,-73.9712,75.11,25.036,10960,68.2,22.734,10,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.7282,-73.7949,55.39,18.462,12242,54.31,18.103,11.17,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2010-2012,2010,2012,2011-07-01T00:00:00Z,40.5795,-74.1502,60.1,20.032,2924,62.16,20.719,2.668,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.8448,-73.8648,833.6,277.866,118533,840.51,280.17,108.151,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.6782,-73.9442,454.67,151.558,115266,449.27,149.755,105.17,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.7831,-73.9712,471.87,157.289,64156,396.05,132.017,58.536,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.7282,-73.7949,267.26,89.088,57381,252.6,84.199,52.355,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.5795,-74.1502,279.02,93.007,12717,269.92,89.972,11.603,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.8448,-73.8648,176.49,58.831,24674,174.96,58.321,22.513,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Brooklyn,Kings,36047,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.6782,-73.9442,88.25,29.417,22347,87.1,29.034,20.39,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.7831,-73.9712,71.93,23.976,10582,65.33,21.775,9.655,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.7282,-73.7949,52.46,17.487,11793,51.91,17.305,10.76,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2011-2013,2011,2013,2012-07-01T00:00:00Z,40.5795,-74.1502,57.96,19.32,2828,60.02,20.008,2.58,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.8448,-73.8648,880.84,293.613,126122,887.27,295.758,115.075,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.6782,-73.9442,448.91,149.636,114587,443.13,147.708,104.55,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.7831,-73.9712,463.62,154.541,63691,391.38,130.459,58.112,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.7282,-73.7949,258.8,86.266,56172,245.72,81.906,51.252,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.5795,-74.1502,270.77,90.257,12294,260.77,86.923,11.217,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.8448,-73.8648,172.51,57.502,24361,171.38,57.127,22.227,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
