timestamp_utc,date_utc,year,month,site_id,site_name,borough,latitude,longitude,pm25_daily_mean_ugm3,pm25_observed_mean_ugm3,pm25_hourly_max_ugm3,valid_hours,coverage_pct,coverage_status,quality_status
2025-01-07T00:00:00Z,2025-01-07,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,4.752,4.752,6.78,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,2.819,2.819,3.52,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,3.438,3.438,4.36,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.191,3.191,4.19,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,3.398,3.398,4.27,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,3.78,3.78,4.68,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,3.382,3.382,4.38,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,3.479,3.479,4.65,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,4.529,4.529,7.01,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,3.145,3.145,3.98,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,3.165,3.165,4.15,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,2.818,2.818,3.19,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-08T00:00:00Z,2025-01-08,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,3.36,3.36,4.01,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,3.023,3.023,4.18,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,3.577,3.577,4.29,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.306,3.306,4.11,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,3.309,3.309,4.0,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,3.621,3.621,4.47,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,3.33,3.33,4.78,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,3.693,3.693,4.93,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,4.636,4.636,7.69,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY10130,Queensboro Bridge,Manhattan,40.76123,-73.96389,2.996,2.996,3.92,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36061NY12380,Hamilton Bridge,Manhattan,40.84654,-73.93302,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36081NY07615,Van Wyck,Queens,40.69015,-73.80908,3.273,3.273,3.95,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36081NY08198,Glendale,Queens,40.70574,-73.88627,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36081NY09285,Queens College,Queens,40.73711,-73.82156,2.905,2.905,3.39,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-09T00:00:00Z,2025-01-09,2025,1,36085NY03820,SI Expwy,Staten Island,40.60921,-74.15118,3.284,3.284,3.96,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36005NY11534,Mott Haven,Bronx,40.80649,-73.92249,3.886,3.886,4.96,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36005NY11790,Hunt's Point,Bronx,40.81909,-73.88566,,,,0,0.0,No data,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36005NY12387,Cross Bronx Expy,Bronx,40.84517,-73.90614,4.53,4.53,5.79,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36047NY07974,BQE,Brooklyn,40.7028,-73.96082,3.5,3.5,4.03,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36061NY08454,Manhattan Bridge,Manhattan,40.71651,-73.997,4.51,4.51,12.42,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36061NY08552,Williamsburg Bridge,Manhattan,40.71807,-73.98606,4.592,4.592,5.69,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36061NY08653,FDR,Manhattan,40.72229,-73.97465,3.373,3.373,6.05,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36061NY09734,Broadway/35th St,Manhattan,40.75069,-73.98783,4.48,4.48,7.02,24,100.0,At least 18 hours,Preliminary; subject to revision
2025-01-10T00:00:00Z,2025-01-10,2025,1,36061NY09929,Midtown West,Manhattan,40.75514,-73.99086,6.136,6.136,9.03,24,100.0,At least 18 hours,Preliminary; subject to revision
